EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW
220328305,15.3588781,3.243938,17.492, GO8070_LC,62,c8_lcs/220328305.png,18,141,273
220328472,9.8344231,3.2471449,15.037, GO8070_LC,83,c8_lcs/220328472.png,24,496,428
220328787,22.687027,3.2540259,17.666, GO8070_LC,14,c8_lcs/220328787.png,6,65,706
220329078,9.5351229,3.259871,17.672, GO8070_LC,83,c8_lcs/220329078.png,24,666,217
220329691,10.1140728,3.272357,16.686, GO8070_LC,83,c8_lcs/220329691.png,24,366,646
220329904,18.6749306,3.2763939,16.41, GO8070_LC,39,c8_lcs/220329904.png,12,435,979
220330018,21.9450054,3.2786911,16.007, GO8070_LC,14,c8_lcs/220330018.png,6,600,301
220330050,12.7954884,3.2792571,17.882, GO8070_LC,64,c8_lcs/220330050.png,18,693,25
220330059,10.4281492,3.279398,16.566, GO8070_LC,83,c8_lcs/220330059.png,24,204,879
220330160,9.6358633,3.2812691,16.832, GO8070_LC,83,c8_lcs/220330160.png,24,628,302
220330351,15.0752792,3.2853999,17.857, GO8070_LC,62,c8_lcs/220330351.png,18,322,459
220330360,13.5037556,3.285495,15.754, GO8070_LC,64,c8_lcs/220330360.png,18,1064,548
220330415,14.8414021,3.286691,17.557, GO8070_LC,62,c8_lcs/220330415.png,18,447,630
220330557,11.6788454,3.289753,15.356, GO8070_LC,77,c8_lcs/220330557.png,23,93,356
220330680,15.2182074,3.2922621,17.919, GO8070_LC,62,c8_lcs/220330680.png,18,250,350
220331316,22.5889606,3.305088,17.926, GO8070_LC,14,c8_lcs/220331316.png,6,111,617
220331445,12.8545876,3.3073421,17.421, GO8070_LC,64,c8_lcs/220331445.png,18,704,84
220331586,18.9385128,3.3100741,16.923, GO8070_LC,39,c8_lcs/220331586.png,12,223,866
220331688,17.7574711,3.312017,17.46, GO8070_LC,38,c8_lcs/220331688.png,12,1090,668
220331954,9.9735413,3.3168781,14.772, GO8070_LC,83,c8_lcs/220331954.png,24,473,567
220332050,13.2707834,3.319088,16.01, GO8070_LC,64,c8_lcs/220332050.png,18,916,395
220333274,15.6151915,3.344744,17.952, GO8070_LC,62,c8_lcs/220333274.png,18,80,31
220333448,10.8527365,3.348511,17.272, GO8070_LC,82,c8_lcs/220333448.png,24,27,932
220333738,12.9989862,3.354651,17.768, GO8070_LC,64,c8_lcs/220333738.png,18,746,215
220334667,17.5537148,3.37411,17.977, GO8070_LC,37,c8_lcs/220334667.png,12,1008,516
220334839,13.5734167,3.378062,17.597, GO8070_LC,64,c8_lcs/220334839.png,18,1033,648
220334894,18.2990665,3.379015,17.866, GO8070_LC,38,c8_lcs/220334894.png,12,657,903
220335035,15.2759933,3.3818271,17.467, GO8070_LC,62,c8_lcs/220335035.png,18,286,260
220335107,16.690897,3.3835471,15.757, GO8070_LC,37,c8_lcs/220335107.png,12,379,55
220335273,21.5650845,3.3874431,16.434, GO8070_LC,14,c8_lcs/220335273.png,6,824,22
220335691,17.3281422,3.395622,17.855, GO8070_LC,37,c8_lcs/220335691.png,12,853,381
220335745,13.3282576,3.396513,16.583, GO8070_LC|GO8042_LC,64,c8_lcs/220335745.png,18,889,478
220335782,18.142168,3.397259,16.981, GO8070_LC,38,c8_lcs/220335782.png,12,763,807
220335989,10.4732914,3.401371,17.309, GO8070_LC,83,c8_lcs/220335989.png,24,269,977
220336154,9.7069988,3.4047179,17.795, GO8070_LC,83,c8_lcs/220336154.png,24,680,420
220336215,18.4661312,3.40592,17.929, GO8070_LC,38,c8_lcs/220336215.png,12,520,971
220336326,10.7039328,3.4073989,16.877, GO8070_LC,82,c8_lcs/220336326.png,24,150,1009
220337005,10.0266323,3.4212129,17.743, GO8070_LC,83,c8_lcs/220337005.png,24,522,662
220337141,16.8987122,3.4242611,17.169, GO8070_LC,37,c8_lcs/220337141.png,12,552,134
220337307,17.2272625,3.42782,16.319, GO8070_LC|GO8042_LC,37,c8_lcs/220337307.png,12,796,304
220337351,14.6026602,3.4287591,16.385, GO8070_LC,62,c8_lcs/220337351.png,18,676,729
220337451,22.2744942,3.430732,17.052, GO8070_LC,14,c8_lcs/220337451.png,6,278,360
220337549,10.0081511,3.4326999,17.604, GO8070_LC,83,c8_lcs/220337549.png,24,539,654
220337894,17.7977829,3.439759,17.662, GO8070_LC,38,c8_lcs/220337894.png,12,993,595
220338033,21.8844299,3.4424491,17.819, GO8070_LC,14,c8_lcs/220338033.png,6,560,148
220338607,13.3607988,3.453548,17.87, GO8070_LC,64,c8_lcs/220338607.png,18,865,532
220338847,22.0168781,3.4587021,17.646, GO8070_LC,14,c8_lcs/220338847.png,6,453,205
220338921,10.0003214,3.460216,15.966, GO8070_LC,83,c8_lcs/220338921.png,24,563,663
220338995,13.9045115,3.4618521,16.87, GO8070_LC,63,c8_lcs/220338995.png,18,1070,935
220339545,17.5533829,3.472441,16.394, GO8070_LC,37,c8_lcs/220339545.png,12,1059,443
220339815,9.9949303,3.478441,17.369, GO8070_LC,83,c8_lcs/220339815.png,24,580,669
220340191,17.5729313,3.486218,17.471, GO8070_LC,37,c8_lcs/220340191.png,12,1080,443
220340229,15.2210188,3.4871631,17.656, GO8070_LC,62,c8_lcs/220340229.png,18,393,245
220340276,17.6520939,3.4882021,16.969, GO8070_LC,38,c8_lcs/220340276.png,12,1075,483
220340471,9.1532717,3.4921601,16.791, GO8070_LC,83,c8_lcs/220340471.png,24,1038,62
220340565,13.063509,3.494602,17.757, GO8070_LC,64,c8_lcs/220340565.png,18,677,336
220340783,9.1987982,3.4988661,16.532, GO8070_LC,83,c8_lcs/220340783.png,24,1020,99
220340859,22.2228699,3.500325,16.482, GO8070_LC|GO8042_LC,14,c8_lcs/220340859.png,6,280,282
220341690,9.9372082,3.518337,16.329, GO8070_LC,83,c8_lcs/220341690.png,24,639,648
220342382,13.3619318,3.534286,17.155, GO8070_LC,64,c8_lcs/220342382.png,18,806,576
220342747,13.3201189,3.5411451,16.487, GO8070_LC,64,c8_lcs/220342747.png,18,779,549
220342979,9.6436768,3.546062,17.202, GO8070_LC,83,c8_lcs/220342979.png,24,816,449
220343104,18.9786396,3.5486879,17.674, GO8070_LC,39,c8_lcs/220343104.png,12,69,1021
220343603,13.3689842,3.55882,17.662, GO8070_LC,64,c8_lcs/220343603.png,18,792,594
220343682,13.7620468,3.560395,16.58, GO8070_LC,64,c8_lcs/220343682.png,18,999,882
220343948,9.9583158,3.5667031,17.501, GO8070_LC,83,c8_lcs/220343948.png,24,664,689
220344323,18.6369915,3.5748401,16.272, GO8070_LC,38,c8_lcs/220344323.png,12,305,936
220344555,11.1631136,3.5801301,17.203, GO8070_LC,82,c8_lcs/220344555.png,24,32,582
220344837,14.8818312,3.586729,17.002, GO8070_LC,62,c8_lcs/220344837.png,18,645,441
220344952,10.6317854,3.5889871,17.922, GO8070_LC,82,c8_lcs/220344952.png,24,322,965
220344954,10.5777969,3.5890081,17.894, GO8070_LC,82,c8_lcs/220344954.png,24,350,1004
220345019,11.0924559,3.590162,17.407, GO8070_LC,82,c8_lcs/220345019.png,24,77,628
220346207,13.3554115,3.6169529,17.705, GO8070_LC,64,c8_lcs/220346207.png,18,742,615
220346873,9.6424379,3.631917,17.9, GO8070_LC,83,c8_lcs/220346873.png,24,880,494
220347013,14.628891,3.634568,16.657, GO8070_LC|GO8042_LC,62,c8_lcs/220347013.png,18,814,601
220347032,8.9932613,3.635035,16.653, GO8070_LC,84,c8_lcs/220347032.png,24,986,22
220347308,17.5397415,3.6409669,17.417, GO8070_LC,38,c8_lcs/220347308.png,12,1078,312
220347606,14.6565886,3.647615,17.938, GO8070_LC,62,c8_lcs/220347606.png,18,809,574
220347635,9.6627502,3.64817,17.049, GO8070_LC,83,c8_lcs/220347635.png,24,881,517
220347661,12.6522865,3.6487889,17.763, GO8070_LC,64,c8_lcs/220347661.png,18,347,117
220347821,17.2039204,3.65207,16.197, GO8070_LC,37,c8_lcs/220347821.png,12,897,127
220347910,13.405345,3.6536429,16.196, GO8070_LC|GO8042_LC,64,c8_lcs/220347910.png,18,742,671
220348623,11.165328,3.66887,17.569, GO8070_LC,82,c8_lcs/220348623.png,24,96,533
220348965,9.656311,3.676331,16.942, GO8070_LC,83,c8_lcs/220348965.png,24,906,528
