EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW,ZSPEC
220170097,18.1150055,-1.205915,18.224,GO8005_LC|GO8052_LC,55.0,c8_lcs/220170097.png,16.0,628.0,555.0,1.758867
220221035,21.0156956,0.742258,18.361,GO8052_LC,35.0,c8_lcs/220221035.png,11.0,39.0,469.0,3.827481
220192831,20.3119335,-0.277087,19.355,GO8052_LC,35.0,c8_lcs/220192831.png,11.0,1094.0,87.0,2.391495
220217645,15.9685869,0.627763,17.691,GO8001_LC|GO8005_LC|GO8052_LC,60.0,c8_lcs/220217645.png,17.0,975.0,447.0,0.703361
220168966,13.2860126,-1.253799,18.186,GO8005_LC|GO8052_LC,75.0,c8_lcs/220168966.png,22.0,512.0,566.0,1.299338
220169790,18.1924877,-1.218742,19.424,GO8052_LC,55.0,c8_lcs/220169790.png,16.0,578.0,504.0,3.5953
220216359,20.3670635,0.58075,18.419,GO8052_LC,35.0,c8_lcs/220216359.png,11.0,603.0,691.0,0.329063
220220452,11.2443752,0.72221,18.394,GO8052_LC,79.0,c8_lcs/220220452.png,23.0,470.0,118.0,0.350155
220198775,20.734129,-0.04797,19.007,GO8052_LC,35.0,c8_lcs/220198775.png,11.0,663.0,35.0,0.340558
220235253,16.0292206,1.236973,18.141,GO8052_LC,59.0,c8_lcs/220235253.png,17.0,870.0,867.0,0.311653
220192000,20.2122173,-0.309186,18.388,GO8052_LC,36.0,c8_lcs/220192000.png,11.0,1029.0,116.0,0.349248
220186429,18.2933693,-0.525866,18.362,GO8052_LC,55.0,c8_lcs/220186429.png,16.0,138.0,961.0,0.412688
220601135,11.2655506,9.050643,19.138,GO8052_LC,72.0,c8_lcs/220601135.png,20.0,203.0,799.0,2.182
220552020,12.1335402,7.9418521,19.283,GO8052_LC,69.0,c8_lcs/220552020.png,20.0,168.0,89.0,1.087
220291862,20.5247536,2.4631319,18.521,GO8052_LC,13.0,c8_lcs/220291862.png,6.0,139.0,161.0,0.995
220271693,15.3190022,2.0324249,18.166,GO8052_LC,58.0,c8_lcs/220271693.png,17.0,972.0,330.0,2.443
220332514,14.6525106,3.328826,18.902,GO8052_LC,62.0,c8_lcs/220332514.png,18.0,577.0,747.0,2.931
220536702,14.495719,7.5900531,19.608,GO8052_LC,47.0,c8_lcs/220536702.png,14.0,996.0,987.0,1.587
220688617,13.0431757,11.1586123,19.13,GO8052_LC,52.0,c8_lcs/220688617.png,15.0,373.0,197.0,2.706
220356810,18.7309532,3.8381779,18.392,GO8052_LC,38.0,c8_lcs/220356810.png,12.0,98.0,792.0,0.596
220646337,15.0273514,10.0910378,18.757,GO8052_LC,30.0,c8_lcs/220646337.png,10.0,128.0,144.0,2.506
220381624,9.652545,4.3439088,18.736,GO8052_LC,84.0,c8_lcs/220381624.png,24.0,820.0,882.0,0.652
220350786,9.8485432,3.714148,18.226,GO8052_LC,83.0,c8_lcs/220350786.png,24.0,829.0,688.0,0.78
220509655,22.5065842,6.9858041,18.575,GO8052_LC,3.0,c8_lcs/220509655.png,2.0,463.0,817.0,2.687
220321097,9.7028408,3.086122,18.814,GO8052_LC,83.0,c8_lcs/220321097.png,24.0,448.0,246.0,2.226
220546760,12.9881773,7.8155308,19.147,GO8052_LC,47.0,c8_lcs/220546760.png,14.0,19.0,27.0,0.886
220312453,11.4493713,2.901253,18.351,GO8052_LC,77.0,c8_lcs/220312453.png,23.0,256.0,731.0,2.542
220359348,16.3606052,3.887666,18.61,GO8052_LC,44.0,c8_lcs/220359348.png,13.0,400.0,58.0,2.396
220345076,14.9759855,3.5914819,19.15,GO8052_LC,62.0,c8_lcs/220345076.png,18.0,599.0,370.0,2.271
220428030,9.4286823,5.2576871,19.024,GO8052_LC,81.0,c8_lcs/220428030.png,24.0,33.0,950.0,2.067
220638215,13.9373684,9.893568,18.652,GO8052_LC,49.0,c8_lcs/220638215.png,15.0,403.0,565.0,0.513
220152700,16.5260639,-1.797178,18.377,GO8052_LC,56.0,c8_lcs/220152700.png,16.0,105.0,956.0,1.43
220638508,12.1629944,9.9004087,19.256,GO8052_LC,51.0,c8_lcs/220638508.png,15.0,537.0,655.0,2.328
